id	name	cadence	questType	targetValue	rewardGold	rewardExp	rewardDiamond	rewardItemId	resetPolicy	groupKey	sortOrder	enabled	notes
241c8a69-2154-447f-8784-5d5fb2386c70		daily			250	120	0		"tw_daily"	seed_v1	10	true	
f65d357c-fa6a-48f2-be7f-05690ea89f1d		daily			300	140	0		"tw_daily"	seed_v1	20	true	
c080d7cf-7713-4d7c-a34b-ac39f546a7c6		daily			320	160	0		"tw_daily"	seed_v1	30	true	
142e63de-4d64-44e1-b85c-7d9e327317dc		daily			180	100	0		"tw_daily"	seed_v1	40	true	
4871f885-de8a-4a36-8010-fd93a4cdb4f6		onboarding			200	80	0	7bdf0277-dcd5-4173-b3ff-d93ccaa9e293	"once"	seed_v1	10	true	
4fa6ab4c-ff18-47b9-89cd-a60951522d77		onboarding			120	60	0	a56bd609-cf0b-4924-b724-891f221fc0b9	"once"	seed_v1	20	true	
6903dd35-bc87-47b5-90b7-db2ac70e53b4		onboarding			180	90	0	4a7c2dd6-1d33-4613-a5aa-913924d12eed	"once"	seed_v1	30	true	
d51da1df-b493-437f-ab6d-c4ecb6484b86		onboarding			200	100	0	ee883bee-93c6-450d-b196-754d3e345d2a	"once"	seed_v1	40	true	
8b220380-cb63-4654-a259-31ce342279b8		onboarding			150	60	0	8c9ac7c4-e00d-44fb-9582-8c68b99c2357	"once"	seed_v1	50	true	
d14ff496-02df-4b70-ab9b-5986acb9ce56		onboarding			200	90	0	4885e098-3624-4c6c-9eb9-e4b27c2fb5ab	"once"	seed_v1	60	true	
7ffc67f9-da89-48e1-982d-1e0efd26d146		onboarding			240	120	0	912125cb-6738-4694-9657-81e7f6a5c2da	"once"	seed_v1	70	true	
d6b325b9-27e1-4f00-b9bf-c7a9700315ea		onboarding			400	160	0	ce6f0608-2750-47b4-aa26-14d9c1aa0f4c	"once"	seed_v1	80	true	
889b0d43-b1ee-4393-bc70-69be79caa3a6		onboarding			220	100	0	421196aa-83e4-4f2e-82f6-dc05077b115a	"once"	seed_v1	90	true	
6e0f29e8-82c6-4e72-aece-e7ce98fb93b8		onboarding			220	100	0	d95a76a8-79ab-4dc7-ab07-82a39dbb5912	"once"	seed_v1	100	true	
16e7c69d-d88c-4de2-8f45-20d3ee2e043b		onboarding			220	100	0	6da9f4e6-aac1-4088-9000-7111fd4926b0	"once"	seed_v1	110	true	
68533ff8-f589-4363-97b9-f75a92d99e22		onboarding			260	120	0	2fcf7576-4e74-4280-b1e6-0d7da7b58dda	"once"	seed_v1	120	true	
d2d62ed7-330f-4a4d-89a0-c4c2863ce288		onboarding			260	120	0	33d319ec-cb62-4826-8bcc-82a6fe52b8fa	"once"	seed_v1	130	true	
935ce854-f4cf-4de7-869e-3dd03520c6b7		onboarding			300	140	0	d5936211-685a-4cd7-a1e9-24524725da96	"once"	seed_v1	140	true	
ea5c5485-8643-4c17-9273-76a382eb5bd8		onboarding			500	220	0	44bda7cc-5b9e-4ce1-95cc-c4a7a413d8cf	"once"	seed_v1	150	true	
f6a752a6-0d2f-4117-b230-240da268e6c1		onboarding			0	0	0	87b281be-b175-40a0-8044-0accc88a0ee0	"once"	seed_v1	160	true	
589a28d1-a316-4613-a630-b4305899084a		weekly			1200	500	0		"tw_weekly"	seed_v1	10	true	
29e7c8c3-1dd8-4a2c-8054-9dfb74b585c1		weekly			1500	700	0		"tw_weekly"	seed_v1	20	true	
261ccb5e-045d-44c1-bd12-909058eb7dd4		weekly			1800	900	0		"tw_weekly"	seed_v1	30	true	
df0a0124-6c39-4854-b137-0ac1b306b0dd		weekly			1000	420	0		"tw_weekly"	seed_v1	40	true	
604167ad-57df-4fbf-9075-a1d8d00bd911		weekly			1200	600	0		"tw_weekly"	seed_v1	50	true	
13035534-98cd-46a2-9343-6b9f2c515fcf		weekly			1400	700	0		"tw_weekly"	seed_v1	60	true	
013a545b-0827-420a-9c40-c287a5e65686		weekly			0	0	0	87b281be-b175-40a0-8044-0accc88a0ee0	"tw_weekly"	seed_v1	70	true	
